,TxnDate,TxnTime,Consumption
76229,01-Jan-22,16:55:52,1.01
76258,01-Jan-22,21:45:29,0.908
76287,01-Jan-22,12:24:52,0.926
76316,01-Jan-22,04:07:36,0.928
76345,01-Jan-22,06:52:25,0.916
76374,01-Jan-22,10:20:09,0.972
76403,01-Jan-22,15:32:01,0.878
76432,01-Jan-22,19:23:47,1.902
76461,01-Jan-22,11:19:47,0.9
76490,01-Jan-22,14:52:01,0.928
76512,01-Jan-22,23:53:01,0.994
76548,01-Jan-22,01:41:48,1.85
76577,01-Jan-22,10:39:50,0.896
76606,01-Jan-22,06:32:56,0.964
76635,01-Jan-22,15:12:09,0.906
76664,01-Jan-22,12:45:05,0.904
76693,01-Jan-22,22:05:56,0.904
76722,01-Jan-22,07:14:24,1.02
76751,01-Jan-22,02:47:00,1.092
76780,01-Jan-22,00:42:33,0.904
76809,01-Jan-22,03:47:47,0.92
76838,01-Jan-22,20:44:08,0.884
76867,01-Jan-22,16:12:37,0.876
76896,01-Jan-22,12:05:06,0.976
76925,01-Jan-22,03:06:30,0.924
76954,01-Jan-22,01:01:51,0.904
76983,01-Jan-22,11:43:40,1.09
77012,01-Jan-22,23:31:01,0.964
77041,01-Jan-22,10:59:47,0.942
77070,01-Jan-22,02:22:52,1.878
77099,01-Jan-22,20:03:52,0.892
77128,01-Jan-22,14:31:39,0.972
77157,01-Jan-22,09:58:43,0.918
77186,01-Jan-22,05:51:27,0.9
77215,01-Jan-22,14:10:15,0.9
77244,01-Jan-22,18:42:25,0.87
77273,01-Jan-22,22:49:58,0.964
77302,01-Jan-22,04:28:02,0.944
77331,01-Jan-22,08:38:00,0.946
77360,01-Jan-22,13:50:19,1.052
77389,01-Jan-22,22:28:26,1.052
77418,01-Jan-22,07:34:40,0.92
77447,01-Jan-22,03:27:40,0.944
77476,01-Jan-22,00:22:28,1.03
77505,01-Jan-22,20:24:31,0.94
77534,01-Jan-22,15:53:43,0.978
77563,01-Jan-22,17:39:34,0.922
77592,01-Jan-22,21:25:49,0.92
77621,01-Jan-22,13:06:25,0.956
77650,01-Jan-22,05:07:43,0.93
77679,01-Jan-22,08:17:20,1.962
77708,01-Jan-22,16:33:12,0.936
77737,01-Jan-22,21:05:13,0.976
77766,01-Jan-22,06:11:59,0.928
77795,01-Jan-22,19:44:16,0.932
77824,01-Jan-22,13:27:37,0.964
77853,01-Jan-22,09:38:30,1.88
77882,01-Jan-22,05:31:53,1.098
77911,01-Jan-22,18:22:53,1.98
77940,01-Jan-22,23:09:54,0.93
77969,01-Jan-22,04:48:02,0.896
77998,01-Jan-22,08:57:36,0.92
78027,01-Jan-22,17:18:43,1.05
82844,02-Jan-22,05:45:06,0.962
82873,02-Jan-22,01:56:52,0.872
82902,02-Jan-22,12:42:40,2.914
82931,02-Jan-22,15:44:50,3.688
82960,02-Jan-22,13:23:26,6.33
82989,02-Jan-22,02:16:48,0.94
83018,02-Jan-22,10:17:01,5.948
83047,02-Jan-22,07:07:36,0.92
83076,02-Jan-22,13:43:32,2.824
83105,02-Jan-22,17:26:47,9.778
83134,02-Jan-22,06:27:10,1.002
83163,02-Jan-22,14:42:57,5.754
83192,02-Jan-22,17:47:02,4.9
83221,02-Jan-22,10:57:55,4.534
83250,02-Jan-22,07:29:02,1.03
83279,02-Jan-22,03:21:57,1.124
83308,02-Jan-22,03:41:38,0.89
83337,02-Jan-22,11:19:09,5.314
83366,02-Jan-22,23:56:26,1.172
83395,02-Jan-22,23:31:40,14.95
83424,02-Jan-22,16:04:39,3.238
83453,02-Jan-22,22:42:19,16.92
83482,02-Jan-22,04:02:06,0.93
83511,02-Jan-22,08:31:26,17.884
83540,02-Jan-22,18:07:31,4.718
83569,02-Jan-22,01:37:09,0.98
83598,02-Jan-22,09:34:40,27.108
83627,02-Jan-22,09:55:18,6.612
83656,02-Jan-22,06:47:46,0.936
83685,02-Jan-22,16:45:24,3.336
83714,02-Jan-22,02:57:34,0.948
83754,02-Jan-22,18:48:48,4.934
83783,02-Jan-22,11:39:47,4.652
83812,02-Jan-22,15:25:08,3.086
83841,02-Jan-22,19:37:20,7.482
83870,02-Jan-22,20:20:59,11.704
83888,02-Jan-22,19:11:49,6.18
83917,02-Jan-22,14:03:26,1.856
83946,02-Jan-22,00:55:12,0.928
83975,02-Jan-22,07:50:40,9.862
84004,02-Jan-22,02:37:03,0.908
84033,02-Jan-22,16:26:40,3.56
84062,02-Jan-22,15:04:12,2.366
84091,02-Jan-22,12:23:27,7.676
84120,02-Jan-22,04:41:47,1.82
84149,02-Jan-22,00:12:25,0.906
84178,02-Jan-22,18:29:37,5.004
84207,02-Jan-22,05:23:40,1.93
84236,02-Jan-22,00:34:37,0.994
84265,02-Jan-22,21:23:06,5.738
84294,02-Jan-22,21:49:08,8.618
84323,02-Jan-22,21:02:58,6.434
84352,02-Jan-22,20:40:58,5.234
84381,02-Jan-22,06:05:51,0.954
84410,02-Jan-22,01:16:03,0.968
84439,02-Jan-22,10:38:42,5.2
