Date,Views
1/7/2015,20.38
2/7/2015,20.75
3/7/2015,19.57
4/7/2015,20.44
5/7/2015,20.77
6/7/2015,22.54
7/7/2015,21.21
8/7/2015,19.11
9/7/2015,19.99
10/7/2015,20.2
11/7/2015,19.7
12/7/2015,20.23
13-07-2015,20.52
14-07-2015,19.7
15-07-2015,19.56
16-07-2015,19.66
17-07-2015,18.99
18-07-2015,18.36
19-07-2015,18.83
20-07-2015,20.34
21-07-2015,19.74
22-07-2015,19.54
23-07-2015,19.62
24-07-2015,18.64
25-07-2015,19.32
26-07-2015,20.4
27-07-2015,20.16
28-07-2015,19.89
29-07-2015,27.56
30-07-2015,18.5
31-07-2015,17.93
1/8/2015,18.18
2/8/2015,19.41
3/8/2015,18.95
4/8/2015,20.53
5/8/2015,20.25
6/8/2015,20.06
7/8/2015,19.12
8/8/2015,19.44
9/8/2015,19.71
10/8/2015,19.85
11/8/2015,18.37
12/8/2015,19.39
13-08-2015,19.19
14-08-2015,19.45
15-08-2015,19.31
16-08-2015,19.68
17-08-2015,20.31
18-08-2015,20.08
19-08-2015,18.9
20-08-2015,19.09
21-08-2015,18.9
22-08-2015,18.8
23-08-2015,19.89
24-08-2015,20.21
25-08-2015,18.56
26-08-2015,18.09
27-08-2015,17.86
28-08-2015,17.29
29-08-2015,17.84
30-08-2015,18.2
31-08-2015,20.55
1/9/2015,18.08
2/9/2015,18.42
3/9/2015,17.85
4/9/2015,17.48
5/9/2015,17.9
6/9/2015,19
7/9/2015,19.74
8/9/2015,19.65
9/9/2015,18.61
10/9/2015,18.07
11/9/2015,18.56
12/9/2015,18.93
13-09-2015,19.06
14-09-2015,19.22
15-09-2015,19.27
16-09-2015,18.23
17-09-2015,18.2
18-09-2015,17.71
19-09-2015,17.85
20-09-2015,19.61
21-09-2015,20.8
22-09-2015,18.83
23-09-2015,19.59
24-09-2015,17.95
25-09-2015,17.81
26-09-2015,18.1
27-09-2015,18.7
28-09-2015,20.31
29-09-2015,17.54
30-09-2015,19.7
1/10/2015,18.84
2/10/2015,18.54
3/10/2015,18.3
4/10/2015,18.94
5/10/2015,19.28
6/10/2015,18.27
7/10/2015,18.84
8/10/2015,19.05
9/10/2015,18.44
10/10/2015,18.94
11/10/2015,19.12
12/10/2015,20.29
13-10-2015,19.56
14-10-2015,18.8
15-10-2015,18.82
16-10-2015,17.87
17-10-2015,18.04
18-10-2015,19.03
19-10-2015,21.35
20-10-2015,20.67
21-10-2015,21.55
22-10-2015,21.47
23-10-2015,18.92
24-10-2015,17.53
25-10-2015,20.1
26-10-2015,20.55
27-10-2015,20.89
28-10-2015,20.54
29-10-2015,18.82
30-10-2015,18.18
31-10-2015,18.12
1/11/2015,17.97
2/11/2015,21.33
3/11/2015,21.05
4/11/2015,20.02
5/11/2015,19.78
6/11/2015,18.06
7/11/2015,17.54
8/11/2015,18.54
9/11/2015,20.78
10/11/2015,19.63
11/11/2015,19.2
12/11/2015,18.8
13-11-2015,18.12
14-11-2015,18.07
15-11-2015,19.12
16-11-2015,20.88
17-11-2015,19.79
18-11-2015,19.89
19-11-2015,19.15
20-11-2015,17.57
21-11-2015,18.95
22-11-2015,19.46
23-11-2015,20.56
24-11-2015,19.45
25-11-2015,18.82
26-11-2015,18.14
27-11-2015,17.9
28-11-2015,19.15
29-11-2015,19.28
30-11-2015,21.37
1/12/2015,20.1
2/12/2015,18.21
3/12/2015,18.57
4/12/2015,17.96
5/12/2015,18.17
6/12/2015,18.41
7/12/2015,21.11
8/12/2015,20.08
9/12/2015,18.03
10/12/2015,16.57
11/12/2015,17.55
12/12/2015,16.26
13-12-2015,18.34
14-12-2015,19.25
15-12-2015,17.27
16-12-2015,17.62
17-12-2015,16.54
18-12-2015,16.28
19-12-2015,16.65
20-12-2015,16.68
21-12-2015,17.8
22-12-2015,17.44
23-12-2015,17.78
24-12-2015,17.21
25-12-2015,15.98
26-12-2015,17.89
27-12-2015,17.4
28-12-2015,18.94
29-12-2015,17.57
30-12-2015,17.38
31-12-2015,16.96
1/1/2016,16.36
2/1/2016,17.61
3/1/2016,17.54
4/1/2016,19.23
5/1/2016,18.14
6/1/2016,18.38
7/1/2016,17.28
8/1/2016,16.44
9/1/2016,16.44
10/1/2016,17.28
11/1/2016,19.1
12/1/2016,18.45
13-01-2016,17.2
14-01-2016,18.14
15-01-2016,17.46
