Date,Symbol,Series,Prev Close,Open,High,Low,Last,Close,VWAP,Volume,Turnover,Trades,Deliverable Volume,%Deliverble
2020-01-01,ADANIPORTS,EQ,366.0,368.0,379.25,366.0,377.45,377.65,375.71,11377167,427445918265000.0,89107.0,1155555,0.1016
2020-01-02,ADANIPORTS,EQ,377.65,377.95,384.7,376.5,382.5,383.15,381.66,5919760,225933741585000.0,54749.0,1072204,0.1811
2020-01-03,ADANIPORTS,EQ,383.15,382.7,384.35,379.2,382.0,382.5,382.01,3684824,140763554940000.0,41829.0,1082913,0.2939
2020-01-06,ADANIPORTS,EQ,382.5,388.0,388.0,374.75,380.0,380.2,381.73,12482680,476507128120000.0,97444.0,2245696,0.1798999999999999
2020-01-07,ADANIPORTS,EQ,380.2,384.05,389.75,382.4,384.05,384.8,385.49,8091465,311917790545000.0,58470.0,3028819,0.3743
2020-01-08,ADANIPORTS,EQ,384.8,379.0,387.6,378.25,385.4,385.65,383.67,4620991,177292164735000.0,37166.0,1442143,0.3121
2020-01-09,ADANIPORTS,EQ,385.65,389.15,394.0,386.05,391.8,391.8,391.3,4186783,163828356245000.0,45704.0,1082332,0.2585
2020-01-10,ADANIPORTS,EQ,391.8,391.8,394.3,390.0,391.3,392.05,392.41,2405154,94380803465000.0,26327.0,788775,0.3279999999999999
2020-01-13,ADANIPORTS,EQ,392.05,391.9,393.9,389.3,390.05,390.35,391.24,1516112,59316782950000.0,19174.0,497886,0.3284
2020-01-14,ADANIPORTS,EQ,390.35,391.0,392.6,386.0,389.25,389.2,389.54,1963128,76472204265000.0,33582.0,661362,0.3369
2020-01-15,ADANIPORTS,EQ,389.2,389.3,391.4,386.0,390.55,390.8,388.83,1536571,59747100625000.0,24601.0,447618,0.2913
2020-01-16,ADANIPORTS,EQ,390.8,392.0,394.6,389.8,391.0,390.95,392.07,1340762,52567446690000.0,16681.0,294794,0.2198999999999999
2020-01-17,ADANIPORTS,EQ,390.95,390.9,392.4,386.0,386.0,387.6,389.03,1644832,63989050854999.99,25587.0,612360,0.3722999999999999
2020-01-20,ADANIPORTS,EQ,387.6,387.65,389.2,378.8,379.85,380.05,382.18,1760945,67298925420000.01,27756.0,470153,0.267
2020-01-21,ADANIPORTS,EQ,380.05,378.8,382.0,375.3,379.7,379.95,378.66,2005178,75927566840000.0,28978.0,843545,0.4207
2020-01-22,ADANIPORTS,EQ,379.95,379.95,385.0,379.0,384.0,383.6,382.9,1817459,69589783525000.0,24026.0,566400,0.3116
2020-01-23,ADANIPORTS,EQ,383.6,384.45,386.75,380.75,385.0,385.85,384.4,1202104,46208683040000.0,22112.0,360665,0.3
2020-01-24,ADANIPORTS,EQ,385.85,383.0,387.4,380.3,384.75,384.75,384.18,1572385,60408393225000.0,23068.0,345643,0.2198
2020-01-27,ADANIPORTS,EQ,384.75,383.7,386.25,379.8,380.7,381.25,382.77,1076027,41187574390000.0,21136.0,259566,0.2412
2020-01-28,ADANIPORTS,EQ,381.25,380.7,381.5,370.2,373.75,372.95,375.37,2220618,83354623245000.0,42216.0,841792,0.3791
2020-01-29,ADANIPORTS,EQ,372.95,377.5,387.75,373.75,382.5,383.35,383.81,3588224,137720482734999.98,46533.0,454883,0.1268
2020-01-30,ADANIPORTS,EQ,383.35,381.0,383.7,376.85,378.0,378.0,379.78,1526892,57988559470000.01,21621.0,385344,0.2524
2020-01-31,ADANIPORTS,EQ,378.0,380.05,381.55,368.25,369.55,369.4,371.94,2912256,108318582800000.0,41584.0,1073862,0.3686999999999999
2020-02-01,ADANIPORTS,EQ,369.4,369.8,371.4,360.65,362.35,362.3,365.61,1839534,67256043825000.0,20577.0,237798,0.1293
2020-02-03,ADANIPORTS,EQ,362.3,364.0,370.0,355.5,369.0,367.35,364.92,2857926,104292850085000.0,28177.0,773965,0.2708
2020-02-04,ADANIPORTS,EQ,367.35,370.1,376.0,366.35,368.35,372.5,372.34,3061868,114006419805000.0,37727.0,767128,0.2505
2020-02-05,ADANIPORTS,EQ,372.5,372.0,372.5,361.1,368.0,366.6,365.67,3441871,125860130634999.98,36629.0,769088,0.2235
