,Date,AQI
0,5/3/2020,73
1,6/3/2020,55
2,7/3/2020,78
3,8/3/2020,120
4,9/3/2020,179
5,10/3/2020,224
6,11/3/2020,106
7,12/3/2020,140
8,13-03-2020,164
9,14-03-2020,123
10,15-03-2020,147
11,16-03-2020,251
12,17-03-2020,245
13,18-03-2020,301
14,19-03-2020,200
15,20-03-2020,223
16,21-03-2020,132
17,22-03-2020,225
18,23-03-2020,121
19,24-03-2020,120
20,25-03-2020,69
21,26-03-2020,71
22,27-03-2020,46
23,28-03-2020,54
24,29-03-2020,71
25,30-03-2020,73
26,31-03-2020,77
27,1/4/2020,67
28,2/4/2020,78
29,3/4/2020,88
30,4/4/2020,73
31,5/4/2020,101
32,6/4/2020,95
33,7/4/2020,100
34,8/4/2020,85
35,9/4/2020,85
36,10/4/2020,126
37,11/4/2020,107
38,12/4/2020,87
39,13-04-2020,124
40,14-04-2020,152
41,15-04-2020,173
42,16-04-2020,136
43,17-04-2020,92
44,18-04-2020,93
45,19-04-2020,98
46,20-04-2020,111
47,21-04-2020,86
48,22-04-2020,122
49,23-04-2020,113
50,24-04-2020,119
51,25-04-2020,92
52,26-04-2020,147
53,27-04-2020,89
54,28-04-2020,96
55,29-04-2020,131
56,30-04-2020,118
57,1/5/2020,130
58,2/5/2020,113
59,3/5/2020,101
60,4/5/2020,98
61,5/5/2020,98
62,6/5/2020,121
63,7/5/2020,116
64,8/5/2020,144
65,9/5/2020,155
66,10/5/2020,109
67,11/5/2020,104
68,12/5/2020,121
69,13-05-2020,128
70,14-05-2020,120
71,15-05-2020,105
72,16-05-2020,121
73,17-05-2020,161
74,18-05-2020,109
75,19-05-2020,151
76,20-05-2020,121
77,21-05-2020,132
78,22-05-2020,148
79,23-05-2020,228
80,24-05-2020,185
81,25-05-2020,185
82,26-05-2020,205
83,27-05-2020,315
84,28-05-2020,320
85,29-05-2020,103
86,30-05-2020,88
87,31-05-2020,89
88,1/6/2020,112
89,2/6/2020,99
90,3/6/2020,131
91,4/6/2020,161
92,5/6/2020,97
93,6/6/2020,125
94,7/6/2020,111
95,8/6/2020,107
96,9/6/2020,133
97,10/6/2020,120
98,11/6/2020,123
